company,companyLabel,productTypeLabel,countryLabel,hqLabel,hqCoord,foundingYearShort
http://www.wikidata.org/entity/Q18208286,Bucking Bull,кофе,,Сидней,Point(151.21 -33.867777777),1999
http://www.wikidata.org/entity/Q18477422,Companhia Agrícola e Pastoril d’Oeste de São Paulo,кофе,Бразилия,Матан,Point(-48.365833333 -21.603333333),1912
http://www.wikidata.org/entity/Q18688965,Meira,кофе,Финляндия,Хельсинки,Point(24.9375 60.170833333),1914
http://www.wikidata.org/entity/Q19608057,Brazilian Warrant Agency and Finance Co,кофе,Великобритания,Лондон,Point(-0.1275 51.507222222),1909
http://www.wikidata.org/entity/Q19608057,Brazilian Warrant Agency and Finance Co,кофе,Бразилия,Лондон,Point(-0.1275 51.507222222),1909
http://www.wikidata.org/entity/Q19608057,Brazilian Warrant Agency and Finance Co,кофе,Соединённое королевство Великобритании и Ирландии,Лондон,Point(-0.1275 51.507222222),1909
http://www.wikidata.org/entity/Q19872246,American Tea Room,чай,,Лос-Анджелес,Point(-118.24368 34.05223),2003
http://www.wikidata.org/entity/Q19960469,Q19960469,кофе,Германия,,,2007
http://www.wikidata.org/entity/Q20053402,Coca Cola Brasil,чай,Бразилия,Рио-де-Жанейро,Point(-43.205555555 -22.911111111),1942
http://www.wikidata.org/entity/Q20749102,Akbar Tea,чай,,Шри-Ланка,Point(81.0 7.0),1969
http://www.wikidata.org/entity/Q23058374,Cafè Neo,кофе,,Лагос,Point(3.393611111 6.456111111),2012
http://www.wikidata.org/entity/Q23461663,La Colombe Coffee Roasters,кофе,США,Филадельфия,Point(-75.163611111 39.952777777),1994
http://www.wikidata.org/entity/Q24934990,Mlesna,чай,,Коломбо,Point(79.860555555 6.926666666),1983
http://www.wikidata.org/entity/Q24945529,Heladiv,чай,,Коломбо,Point(79.860555555 6.926666666),1990
http://www.wikidata.org/entity/Q25021306,Maya Tea Company,чай,,Тусон,Point(-110.926388888 32.221666666),1996
http://www.wikidata.org/entity/Q25303121,JDE Peet’s,кофе,Нидерланды,Амстердам,Point(4.876635 52.375368),2015
http://www.wikidata.org/entity/Q28229714,Gregorys Coffee,кофе,США,Нью-Йорк,Point(-74.006111111 40.712777777),2006
http://www.wikidata.org/entity/Q30591352,Bo's Coffee,кофе,Филиппины,Себу,Point(123.902 10.293),1996
http://www.wikidata.org/entity/Q30740477,Scop TI,чай,Франция,Жеменос,Point(5.626944444 43.296111111),2014
http://www.wikidata.org/entity/Q30891188,Шоколадница,кофе,Россия,Москва,Point(37.6175 55.750555555),2000
http://www.wikidata.org/entity/Q46012677,Miko,кофе,Бельгия,Тюрнхаут,Point(4.933333333 51.316666666),1937
http://www.wikidata.org/entity/Q48928838,Q48928838,чай,Китай,Сучжоу,Point(120.619444444 31.3),1899
http://www.wikidata.org/entity/Q55662627,Coffee Like,кофе,,Ижевск,Point(53.216666666 56.85),2013
http://www.wikidata.org/entity/Q60769840,Society Tea,чай,Индия,Мумбаи,Point(72.8775 19.075833333),1933
http://www.wikidata.org/entity/Q60867333,Coffee Island,кофе,,,,1999
http://www.wikidata.org/entity/Q64005031,Black Rifle Coffee Company,кофе,США,Солт-Лейк-Сити,Point(-111.883333333 40.75),2014
http://www.wikidata.org/entity/Q65154379,Dille & Kamille,чай,Нидерланды,Утрехт,Point(5.12222 52.09083),1974
http://www.wikidata.org/entity/Q93561941,Tuvunu,чай,Греция,,,2012
http://www.wikidata.org/entity/Q101249024,Q101249024,чай,Бельгия,Лион,Point(4.835 45.7675),1990
http://www.wikidata.org/entity/Q101249024,Q101249024,чай,Франция,Лион,Point(4.835 45.7675),1990
