tea,teaLabel,type,typeLabel,country,countryLabel,processingMethod,processingMethodLabel,subclass,subclassLabel,image
http://www.wikidata.org/entity/Q108168889,Hechalou Tea,,,,,,,http://www.wikidata.org/entity/Q715858,Чай с шариками,
http://www.wikidata.org/entity/Q11433557,Yamato tea,,,http://www.wikidata.org/entity/Q17,Япония,,,http://www.wikidata.org/entity/Q11509025,японский чай,http://commons.wikimedia.org/wiki/Special:FilePath/Yamazoe%20tyabatake.jpg
http://www.wikidata.org/entity/Q25113097,Гоиситя,,,,,,,http://www.wikidata.org/entity/Q2542583,Постферментированный чай,
http://www.wikidata.org/entity/Q2748300,Юаньян,,,,,,,http://www.wikidata.org/entity/Q1884224,чай с молоком,http://commons.wikimedia.org/wiki/Special:FilePath/Yuanyang%20%28drink%29.jpg
http://www.wikidata.org/entity/Q7800426,Tibeti,,,http://www.wikidata.org/entity/Q148,Китай,,,http://www.wikidata.org/entity/Q2542583,Постферментированный чай,http://commons.wikimedia.org/wiki/Special:FilePath/Briques%20de%20th%C3%A9%20tib%C3%A9tain.jpg
http://www.wikidata.org/entity/Q133253650,tea latte,,,,,,,http://www.wikidata.org/entity/Q1884224,чай с молоком,
http://www.wikidata.org/entity/Q30924193,Q30924193,,,,,,,http://www.wikidata.org/entity/Q11509025,японский чай,
http://www.wikidata.org/entity/Q30927481,Q30927481,,,,,,,http://www.wikidata.org/entity/Q1424874,Гёкуро,
http://www.wikidata.org/entity/Q24872072,batabata tea,,,http://www.wikidata.org/entity/Q17,Япония,,,http://www.wikidata.org/entity/Q2542583,Постферментированный чай,
http://www.wikidata.org/entity/Q6426017,kohki tea,,,,,,,http://www.wikidata.org/entity/Q5100949,китайский чай,
http://www.wikidata.org/entity/Q4210698,Камаиритя,,,http://www.wikidata.org/entity/Q17,Япония,,,http://www.wikidata.org/entity/Q11509025,японский чай,http://commons.wikimedia.org/wiki/Special:FilePath/Kamairicha.jpg
http://www.wikidata.org/entity/Q30927481,Q30927481,,,,,,,http://www.wikidata.org/entity/Q11390756,Yamecha,
http://www.wikidata.org/entity/Q39553,sujeonggwa,,,,,,,http://www.wikidata.org/entity/Q1121224,Пунш,http://commons.wikimedia.org/wiki/Special:FilePath/Korean%20fruit%20punch-Sujeonggwa-02.jpg
http://www.wikidata.org/entity/Q24874647,Q24874647,,,,,,,http://www.wikidata.org/entity/Q11509025,японский чай,
http://www.wikidata.org/entity/Q116188631,E.Tea,,,,,,,http://www.wikidata.org/entity/Q715858,Чай с шариками,
http://www.wikidata.org/entity/Q30925934,Q30925934,,,,,,,http://www.wikidata.org/entity/Q30925932,Q30925932,
